cole_depto_ubicacion,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,punt_global
VALLE,Estrato 3,9 o más,Si,Si,No,No,Rango de 238.0 a 293.0
VALLE,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 1,3 a 4,No,No,No,Si,Rango de 48 a 238.0
VALLE,Estrato 6,5 a 6,Si,Si,Si,Si,Rango de 293.0 a 337.0
CUNDINAMARCA,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 3,3 a 4,No,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
CUNDINAMARCA,Estrato 6,5 a 6,Si,Si,Si,Si,Rango de 337.0 a 476
CUNDINAMARCA,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
ANTIOQUIA,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 5,3 a 4,No,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
CUNDINAMARCA,Estrato 5,5 a 6,Si,Si,Si,Si,Rango de 337.0 a 476
BOGOTÁ,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 2,5 a 6,Si,Si,Si,Si,Rango de 293.0 a 337.0
VALLE,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
CAUCA,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 5,7 a 8,Si,Si,Si,Si,Rango de 337.0 a 476
CAUCA,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
BOGOTÁ,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
VALLE,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 3,5 a 6,Si,Si,Si,Si,Rango de 238.0 a 293.0
RISARALDA,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
BOGOTÁ,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
BOGOTÁ,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 2,3 a 4,Si,Si,Si,Si,Rango de 48 a 238.0
VALLE,Estrato 4,5 a 6,Si,Si,Si,Si,Rango de 293.0 a 337.0
VALLE,Estrato 5,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
SANTANDER,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
VALLE,Estrato 3,3 a 4,No,Si,Si,Si,Rango de 238.0 a 293.0
VALLE,Estrato 2,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
CUNDINAMARCA,Estrato 4,3 a 4,Si,Si,Si,Si,Rango de 293.0 a 337.0
ANTIOQUIA,Estrato 6,3 a 4,Si,Si,Si,Si,Rango de 337.0 a 476
