"cole_depto_ubicacion","fami_estratovivienda","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","fami_tienelavadora","punt_global"
"VALLE","Estrato 3","9 o más","Si","Si","No","No","274"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","270"
"VALLE","Estrato 1","3 a 4","No","No","No","Si","222"
"VALLE","Estrato 6","5 a 6","Si","Si","Si","Si","305"
"CUNDINAMARCA","Estrato 4","3 a 4","Si","Si","Si","Si","359"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","250"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","243"
"CUNDINAMARCA","Estrato 6","5 a 6","Si","Si","Si","Si","345"
"CUNDINAMARCA","Estrato 6","3 a 4","Si","Si","Si","Si","356"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","347"
"ANTIOQUIA","Estrato 5","3 a 4","Si","Si","Si","Si","377"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","348"
"VALLE","Estrato 5","3 a 4","No","Si","Si","Si","277"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","341"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","345"
"CUNDINAMARCA","Estrato 5","5 a 6","Si","Si","Si","Si","378"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","360"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","349"
"VALLE","Estrato 2","5 a 6","Si","Si","Si","Si","294"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","358"
"CAUCA","Estrato 4","3 a 4","Si","Si","Si","Si","372"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","271"
"VALLE","Estrato 5","7 a 8","Si","Si","Si","Si","369"
"CAUCA","Estrato 5","3 a 4","Si","Si","Si","Si","401"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","326"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","253"
"VALLE","Estrato 3","5 a 6","Si","Si","Si","Si","284"
"RISARALDA","Estrato 6","3 a 4","Si","Si","Si","Si","332"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","409"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","387"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","205"
"VALLE","Estrato 4","5 a 6","Si","Si","Si","Si","300"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","355"
"SANTANDER","Estrato 4","3 a 4","Si","Si","Si","Si","360"
"VALLE","Estrato 4","3 a 4","Si","Si","Si","Si","367"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","260"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","312"
"CUNDINAMARCA","Estrato 4","3 a 4","Si","Si","Si","Si","312"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","342"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","366"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","331"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","333"
"BOGOTÁ","Estrato 2","5 a 6","No","No","Si","Si","268"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","359"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","349"
"VALLE","Estrato 3","1 a 2","Si","Si","Si","Si","242"
"QUINDIO","Estrato 3","1 a 2","No","Si","Si","Si","195"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","367"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","383"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","329"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","298"
"CUNDINAMARCA","Estrato 2","3 a 4","No","Si","Si","Si","275"
"NARIÑO","Estrato 1","1 a 2","No","No","No","No","213"
"NARIÑO","Estrato 3","5 a 6","Si","Si","Si","Si","289"
"VALLE","Estrato 3","1 a 2","Si","Si","Si","Si","347"
"CUNDINAMARCA","Estrato 4","5 a 6","Si","Si","Si","Si","300"
"VALLE","Estrato 3","7 a 8","Si","Si","Si","Si","274"
"VALLE","Estrato 4","5 a 6","Si","Si","Si","Si","228"
"VALLE","Estrato 2","5 a 6","Si","No","Si","Si","212"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","344"
"ATLANTICO","Estrato 6","3 a 4","Si","Si","Si","Si","314"
"CAUCA","Estrato 2","5 a 6","Si","Si","Si","Si","260"
"BOGOTÁ","Estrato 4","5 a 6","Si","Si","Si","Si","347"
"SUCRE","Estrato 1","3 a 4","No","No","Si","Si","190"
"BOGOTÁ","Estrato 2","3 a 4","No","Si","Si","Si","237"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","319"
"SANTANDER","Estrato 1","3 a 4","No","Si","Si","No","260"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","322"
